K,K,K,K,K,W,W,P,P,P,P,P,P,W,L,L,L,W,W,A,A,A,A,A,A
K,K,K,K,K,W,W,P,P,P,P,P,P,W,L,L,L,W,W,A,A,A,A,A,A
K,K,K,K,K,W,W,P,P,P,P,P,P,W,L,L,L,W,W,A,A,A,A,A,A
K,K,K,K,K,W,PL,P,P,P,P,P,P,W,L,L,L,W,W,A,A,A,A,A,AD
K,K,K,K,K,W,PL,P,P,P,P,P,PR,W,LL,L,L,LD,W,AL,A,W,W,W,W
W,W,KD,KD,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,AL,A,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,X,X,X,X,X,X,X,X,X,W,W,B,B,B,B,B,B
W,W,W,W,W,W,W,W,X,X,X,X,X,X,X,X,X,W,W,B,B,B,B,B,B
G,G,G,G,GU,GU,W,W,X,X,X,X,X,X,X,X,X,W,W,BL,B,B,B,B,B
G,G,G,G,G,G,W,W,X,X,X,X,X,X,X,X,X,W,W,BL,B,B,B,B,B
G,G,G,G,G,G,W,W,X,X,X,X,X,X,X,X,X,W,W,BL,B,B,B,B,B
G,G,G,G,G,G,W,W,X,X,X,X,X,X,X,X,X,W,W,B,B,B,B,B,B
G,G,G,G,G,G,W,W,X,X,X,X,X,X,X,X,X,W,W,B,B,B,B,B,B
G,G,G,G,G,G,W,W,X,X,X,X,X,X,X,X,X,W,W,W,W,W,W,W,W
G,G,G,G,GD,GD,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
T,T,TU,TU,TU,T,T,T,T,W,D,D,DU,DU,D,D,D,DR,W,W,OU,OU,O,O,O
T,T,T,T,T,T,T,T,T,W,D,D,D,D,D,D,D,D,W,W,O,O,O,O,O
T,T,T,T,T,T,T,T,T,W,D,D,D,D,D,D,D,D,W,W,O,O,O,O,O
T,T,T,T,T,T,T,T,T,W,D,D,D,D,D,W,W,W,W,W,O,O,O,O,O
T,T,T,T,T,T,T,T,T,W,D,D,D,D,D,W,W,W,W,W,O,O,O,O,O
